Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
MAIN,POST,161,1-Aug-14,731307,8561547,AWW,WFW,,,,,,
MAIN,POST,162,2-Aug-14,730881,8562124,AAY,FYA,EWE,,,,,
MAIN,POST,163,3-Aug-14,731089,8562200,AAY,EWE,FYA,,,,,
MAIN,POST,164,3-Aug-14,731440,8559556,EEF,WYA,FFG,YBY,GWE,,,
MAIN,POST,165,3-Aug-14,731400,8559576,EEF,WYA,FFG,YBY,GWE,,,
MAIN,POST,166,3-Aug-14,731108,8560940,BAA,YYF,EGW,BWA,BBF,,,
EARLY,POST,167,3-Aug-14,731267,8563263,FBF,FEA,YWB,AFY,GGE,,,
MAIN,POST,168,3-Aug-14,731112,8560896,EGW,BWA,,,,,,
EARLY,POST,169,3-Aug-14,731274,8563244,GGE,FEA,,,,,,
MAIN,POST,170,7-Aug-14,731343,8561592,AWW,WFW,,,,,,
MAIN,POST,171,8-Aug-14,731197,8561583,YEW,AAA,,,,,,
MAIN,POST,172,8-Aug-14,732244,8561004,GBA,YEY,WGW,UNB1,UNB2,UNB3,WFY,
MAIN,POST,173,13-Aug-14,731641,8561037,GYW,AGF,WBW,,,,,
MAIN,POST,174,14-Aug-14,731409,8559540,EEF,GWE,WYA,FFG,YBY,,,
MAIN,POST,175,26-Jul-14,,,EEB,GEG,GGA,EYF,,,,
