Fire,SP,Group,Date,UTM1,UTM2,Bird1,Bird2,Bird3,Bird4,Bird5,Bird6,Bird7,Bird8
N,Pre,83,5-Jul-13,730363,8560451,WEB,BFF,YEE,,,,,
N,Pre,84,6-Jul-13,730429,8561890,AYY,AFB,,,,,,
N,Pre,85,7-Jul-13,730451,8560434,WEB,YEE,BFF,,,,,
N,Pre,86,7-Jul-13,731434,8559860,FFG,YBY,,,,,,
Y,Post,87,13-Jul-13,731856,8562838,FAF,BAB,EBW,,,,,
Y,Post,88,13-Jul-13,731593,8561306,GAG,XXY,,,,,,
N,Post,89,13-Jul-13,731178,8561474,YEW,AAA,BFW,,,,,
Y,Post,90,13-Jul-13,731880,8562720,EAA,EBW,FAF,,,,,
Y,Post,91,13-Jul-13,730959,8563326,GGE,FEA,BYG,YWB,BEE,FBF,EGE,GWY
N,Post,92,13-Jul-13,731003,8561345,AAA,YEW,BFW,,,,,
N,Post,93,13-Jul-13,731246,8561510,WYW,BBF,,,,,,
N,Post,94,14-Jul-13,730507,8561988,FWF,YAF,,,,,,
Y,Post,95,14-Jul-13,731564,8561270,GAG,XXY,,,,,,
N,Post,96,14-Jul-13,731153,8560990,WEW,BAA,FWA,,,,,
N,Post,97,14-Jul-13,730527,8561896,AYY,AFB,,,,,,
Y,Post,98,14-Jul-13,730787,8563288,EGE,BYG,AWG,,,,,
N,Post,99,14-Jul-13,730400,8560976,WEB,YEE,BFF,,,,,
Y,Post,100,14-Jul-13,730759,8563315,BYG,EGE,AWG,,,,,
N,Post,101,15-Jul-13,730757,8562966,EWW,BEY,,,,,,
Y,Post,102,15-Jul-13,730787,8563288,EGE,BYG,AWG,,,,,
Y,Post,103,15-Jul-13,731149,8563146,FEA,GGE,AFY,YWB,,,,
Y,Post,104,15-Jul-13,731851,8562796,FAY,BWB,BAG,,,,,
N,Post,105,15-Jul-13,730420,8560802,WEB,YEE,BFF,,,,,
N,Post,106,16-Jul-13,731202,8561576,WYW,BBF,,,,,,
N,Post,107,16-Jul-13,731177,8561527,AAA,YEW,BFW,,,,,
Y,Post,108,16-Jul-13,731917,8562804,FAF,EBW,,,,,,
Y,Post,109,16-Jul-13,731812,8562834,FAY,BWB,BAG,BAB,XXF,UNB1,UNB2,
N,Post,110,17-Jul-13,730497,8560968,BFF,BGW,YYB,,,,,
N,Post,111,18-Jul-13,731053,8561282,AAA,YEW,BFW,FWA,BAA,WEW,,
N,Post,112,18-Jul-13,730377,8560564,WEB,YEE,,,,,,
Y,Post,113,18-Jul-13,730906,8563394,BEE,FBF,,,,,,
N,Post,114,18-Jul-13,731093,8561248,WEW,BAA,FWA,,,,,
N,Post,115,18-Jul-13,730443,8561954,YAF,FWF,,,,,,
Y,Post,116,19-Jul-13,732254,8562076,EYF,GGA,,,,,,
N,Post,117,19-Jul-13,731186,8561456,WYW,YEW,AAA,BFW,,,,
Y,Post,118,20-Jul-13,732208,8562044,EYF,GGA,,,,,,
Y,Post,119,21-Jul-13,731928,8562626,EAA,BAB,,,,,,
Y,Post,120,21-Jul-13,731425,8561332,XXY,GAG,,,,,,
N,Post,121,21-Jul-13,730456,8560412,BFF,YEE,,,,,,
Y,Post,122,21-Jul-13,731931,8562593,FAY,XXF,BAG,BAB,BWB,UNB1,UNB2,
N,Post,123,22-Jul-13,731151,8561454,AAA,BFW,,,,,,
N,Post,124,22-Jul-13,730756,8562970,BEY,EWW,,,,,,
N,Post,125,23-Jul-13,731151,8561454,AAA,YEW,,,,,,
Y,Post,126,23-Jul-13,731886,8562666,FAY,BWB,BAG,,,,,
N,Post,127,24-Jul-13,731151,8561454,YEW,BAA,,,,,,
Y,Post,128,24-Jul-13,731189,8563136,YWB,AFY,,,,,,
N,Post,129,24-Jul-13,730497,8560968,BGW,BFF,YYB,,,,,
Y,Post,130,24-Jul-13,731189,8563136,YWB,AFY,,,,,,
N,Post,131,25-Jul-13,730992,8561664,AAA,BFW,,,,,,
