colony,ID,x,y,type
8,N18,-821.899871,89.10344867,nest
8,N19,-470.4773183,-7.00040837,nest
8,N2,309.0933724,100.4305092,nest
8,N20,465.6757859,464.2679295,nest
8,N21,-762.4296596,272.5404245,nest
8,N22,667.4504485,-58.39433923,nest
8,N23,-1884.673318,-1241.624648,nest
8,N24,-356.3954529,475.0060068,nest
8,N25,702.4504577,2.227433743,nest
8,N26,379.0732644,414.2678968,nest
8,N27,-1184.376701,-4539.493096,nest
8,N3,230.1249,130.324,nest
8,N4,108.9294879,-15.30903891,nest
8,N5,153.9000601,-170.9232912,nest
8,N6,-1284.377771,180.5069035,nest
8,N7,-544.6475216,284.469195,nest
8,N8,-1215.273037,438.4090861,nest
8,N9,-314.7975374,183.541068,nest
9,N1,261.3626187,414.8243426,nest
9,N10,603.3264333,260.5814742,nest
9,N11,1010.827027,713.1566236,nest
9,N12,-965.4503933,77.43489076,nest
9,N13,2104.07693,-1026.226717,nest
9,N14,2613.766251,-1008.427976,nest
9,N15,3034.455116,-1314.076269,nest
9,N16,2115.97505,-1870.097287,nest
9,N17,1674.49054,-1980.171934,nest
9,N18,120.0840953,261.6033053,nest
9,N19,4153.54539,-2220.297522,nest
9,N2,164.9444627,299.9176883,nest
9,N20,4321.621001,-2005.170608,nest
9,N21,3715.861363,-2529.026258,nest
9,N22,116.5959937,251.7561804,nest
9,N23,-69.91315572,215.5023918,nest
9,N24,1012.223916,-1076.658882,nest
9,N25,1068.461726,-1320.251387,nest
9,N26,-108.3288446,-19.10134595,nest
9,N27,1460.69162,755.5814094,nest
9,N28,748.4604574,-120.4583698,nest
9,N29,298.1271098,139.5413919,nest
9,N3,138.9636995,284.9176903,nest
9,N30,2118.327421,-1827.022334,nest
9,N31,-246.312268,-1876.802775,nest
9,N32,-292.3516834,-1218.410512,nest
9,N33,1070.936794,-657.1551715,nest
9,N34,2286.143893,2827.864083,nest
9,N35,-1880.699448,1218.236514,nest
9,N36,-2453.486877,-287.4522253,nest
9,N37,-2659.154218,-340.1986881,nest
9,N38,2308.720653,-1826.007318,nest
9,N39,-2414.37821,-534.3743025,nest
9,N4,0,0,nest
9,N40,-29.77638296,-3.656093283,nest
9,N41,-699.6330857,-29.45613273,nest
9,N42,-1878.339615,-1952.893862,nest
9,N5,-292.3519079,-228.410512,nest
9,N6,-1086.867603,-256.1559682,nest
9,N7,-1505.410933,-182.3556931,nest
9,N8,685.4606009,-357.7492476,nest
9,N9,1595.741016,-1204.228268,nest
10,N1,-2062.376303,-404.2141817,nest
10,N10,820.1877812,-648.3963898,nest
10,N11,683.379828,-1024.273476,nest
10,N12,1249.746782,-1228.206699,nest
10,N13,1278.855657,-1235.464341,nest
10,N14,1108.970906,-1297.013617,nest
10,N15,249.4818354,-127.117323,nest
10,N16,-531.9104626,261.0778881,nest
10,N17,1144.442259,-1266.178846,nest
10,N18,986.5338344,315.4967491,nest
10,N19,930.8613208,-131.7848265,nest
10,N2,-1975.875417,-350.1623845,nest
10,N20,-172.0730764,245.7455114,nest
10,N21,702.7442128,-654.7805524,nest
10,N22,787.5320582,-377.4521888,nest
10,N23,-925.8738631,-423.4060189,nest
10,N24,-1216.970665,-667.6654133,nest
10,N25,-1345.841373,-612.9631212,nest
10,N26,0,676,nest
10,N27,468.335968,-41.47804867,nest
10,N28,899.1088422,-179.7575975,nest
10,N29,1180.481966,310.8484715,nest
10,N3,-1049.618896,24.06997113,nest
10,N30,-901.8478447,-172.3714171,nest
10,N31,-1049.764432,144.836217,nest
10,N32,-567.0131804,-231.4116372,nest
10,N33,283.0430511,-550.6253815,nest
10,N34,752.5539478,-650.4227659,nest
10,N35,129.241198,-594.727422,nest
10,N4,-929.4175946,167.3202668,nest
10,N5,-872.1187098,-283.3689399,nest
10,N6,0,0,nest
10,N7,294.4484959,170.0002449,nest
10,N8,907.8799856,-151.0684525,nest
10,N9,1095.238094,-90.19202808,nest
12,N1,1309.027753,343.6379552,nest
12,N10,615.2493344,-63.85782292,nest
12,N11,1358.379369,-349.1186714,nest
12,N12,1608.227076,-357.8435443,nest
12,N13,-29.88584216,2.61465835,nest
12,N14,-448.001839,157.6738864,nest
12,N15,-310.0986217,112.866491,nest
12,N16,-661.4141115,154.5227337,nest
12,N17,-1362.605575,323.7031873,nest
12,N18,-1372.906331,306.5598381,nest
12,N19,-1447.68338,334.1494072,nest
12,N2,202.2497805,195.6780969,nest
12,N20,-2667.217539,584.8155829,nest
12,N21,-2217.377386,1077.433429,nest
12,N22,-2281.427037,1111.627069,nest
12,N23,-2381.000805,1279.491284,nest
12,N24,1410.636087,501.4039125,nest
12,N25,1356.365712,633.4968827,nest
12,N26,1203.826474,464.9377066,nest
12,N3,179.2672664,103.4999864,nest
12,N4,0,0,nest
12,N5,-47.57375394,-680.3386935,nest
12,N6,-640.6867444,136.1818475,nest
12,N7,1553.564654,291.6600399,nest
12,N8,-616.2894436,287.3800996,nest
12,N9,263.5321623,174.206615,nest
2a,N1,-523.7211434,36.62190588,nest
2a,N2,0,0,nest
2a,N3,-13.70226344,446.113915,nest
2a,N4,232.4996956,402.7019885,nest
2a,N5,-251.1675742,472.376809,nest
2a,N6,52.29357368,-597.7168077,nest
2a,N7,-882.3544756,1591.807331,nest
2b,N1,-502.5029215,67.44334123,nest
2b,N10,-955.3288889,-326.191824,nest
2b,N11,-327.7552392,194.4049399,nest
2b,N12,-165.708636,7.991693566,nest
2b,N13,1108.476824,593.7168283,nest
2b,N14,-597.4194222,742.8061014,nest
2b,N15,1606.053211,775.0454909,nest
2b,N16,-543.8933335,-538.7513889,nest
2b,N17,1238.93141,-278.5758202,nest
2b,N18,-576.1519537,-498.490668,nest
2b,N19,-1290.289806,-1725.013711,nest
2b,N2,-176.9306861,397.3921644,nest
2b,N20,1091.210258,-304.6231101,nest
2b,N21,-1519.72953,-1741.057802,nest
2b,N3,-24.871121,-16.77579625,nest
2b,N4,0,0,nest
2b,N5,647.5667202,426.184993,nest
2b,N6,1224.339362,759.1854726,nest
2b,N7,-268.8276279,-738.5984745,nest
2b,N8,-513.0870883,-447.5017276,nest
2b,N9,1267.419139,865.8116085,nest
