,1,2,3,4,5,6,7,8
1,,12,13,12,12,11,11,9
2,,,15,14,14,12,10,10
3,,,,14,14,12,10,10
4,,,,,14,12,10,10
5,,,,,,12,11,9
6,,,,,,,9,9
7,,,,,,,,9
8,,,,,,,,
