,1,2,3,4,5,6,7,8
1,,11,8,8,12,9,12,11
2,,,8,7,10,10,10,11
3,,,,4,7,6,8,8
4,,,,,6,6,8,7
5,,,,,,9,13,11
6,,,,,,,9,11
7,,,,,,,,11
8,,,,,,,,
