,1,2,3,4,5,6,7,8
1,,7,5,6,7,3,6,5
2,,,5,6,7,7,4,4
3,,,,9,9,7,11,11
4,,,,,8,9,7,8
5,,,,,,8,7,8
6,,,,,,,6,8
7,,,,,,,,7
8,,,,,,,,
