,1,2,3,4,5,6,7,8
1,,6,11,8,8,7,9,10
2,,,10,9,9,8,12,10
3,,,,10,9,7,8,11
4,,,,,7,10,12,10
5,,,,,,10,12,10
6,,,,,,,14,13
7,,,,,,,,12
8,,,,,,,,
