,1,2,3,4,5,6,7,8
1,,12,8,9,10,12,11,5
2,,,8,10,10,14,11,6
3,,,,11,11,9,11,10
4,,,,,11,10,14,8
5,,,,,,9,11,8
6,,,,,,,11,7
7,,,,,,,,8
8,,,,,,,,
