,1,2,3,4,5,6,7,8
1,,4,7,1,6,3,3,7
2,,,7,7,2,8,8,6
3,,,,3,7,7,9,7
4,,,,,4,9,7,3
5,,,,,,5,5,4
6,,,,,,,8,5
7,,,,,,,,8
8,,,,,,,,
