,1,2,3,4,5,6,7,8
1,,8,6,7,7,4,7,5
2,,,8,5,8,4,6,6
3,,,,5,7,6,6,6
4,,,,,6,2,3,6
5,,,,,,3,6,5
6,,,,,,,2,5
7,,,,,,,,5
8,,,,,,,,
