,1,2,3,4,5,6,7,8
1,,8,10,9,9,8,9,10
2,,,15,17,17,15,14,15
3,,,,17,17,16,17,18
4,,,,,15,13,15,18
5,,,,,,15,16,16
6,,,,,,,12,15
7,,,,,,,,18
8,,,,,,,,
