"node_ID","eigenvector_centrality","betweeness","degree","network","animal","condition","replicate_num"
"7","0.814051633699846","0.444444444444444","14","guppy","guppy","low_risk","9"
"8","0.802240732371951","0.111111111111111","14","guppy","guppy","low_risk","9"
"1","0.86083936291869","0.166666666666667","14","guppy","guppy","low_risk","10"
"2","1","0","14","guppy","guppy","low_risk","10"
"3","0.536952959353096","0.666666666666667","14","guppy","guppy","low_risk","10"
"4","0.946900329630923","0","14","guppy","guppy","low_risk","10"
"5","0.483666215591929","0.416666666666667","14","guppy","guppy","low_risk","10"
"6","0.506227156096453","1","14","guppy","guppy","low_risk","10"
"7","0.947680815501891","0","14","guppy","guppy","low_risk","10"
"8","0.9765646282088","0","14","guppy","guppy","low_risk","10"
"1","0.443344381233086","1","14","guppy","guppy","low_risk","11"
"2","0.634154360715167","0","14","guppy","guppy","low_risk","11"
"3","0.729975496009355","0","14","guppy","guppy","low_risk","11"
"4","0.980982826521797","0","14","guppy","guppy","low_risk","11"
"5","0.947947395651656","0","12","guppy","guppy","low_risk","11"
"6","0.774010733371733","0.875","14","guppy","guppy","low_risk","11"
"7","1","0","14","guppy","guppy","low_risk","11"
"8","0.41181177352606","0","12","guppy","guppy","low_risk","11"
"1","1","0","14","guppy","guppy","low_risk","12"
"2","0.536343089082604","0.230769230769231","14","guppy","guppy","low_risk","12"
"3","0.802387057235788","0","14","guppy","guppy","low_risk","12"
"4","0.317879939527597","1","14","guppy","guppy","low_risk","12"
"5","0.733358003229595","0","14","guppy","guppy","low_risk","12"
"6","0.58988594904798","0.115384615384615","14","guppy","guppy","low_risk","12"
"7","0.911379910600237","0","14","guppy","guppy","low_risk","12"
"8","0.46495709937604","0","14","guppy","guppy","low_risk","12"
"1","0.525124811190693","1","14","guppy","guppy","low_risk","13"
"2","1","0","14","guppy","guppy","low_risk","13"
"3","0.918148880187874","0","14","guppy","guppy","low_risk","13"
"4","0.907008107426074","0","14","guppy","guppy","low_risk","13"
"5","0.853076537354026","0","14","guppy","guppy","low_risk","13"
"6","0.904984088543072","0","14","guppy","guppy","low_risk","13"
"7","0.986193757722864","0","14","guppy","guppy","low_risk","13"
"8","0.679479581854504","0.333333333333333","14","guppy","guppy","low_risk","13"
"1","0.628405183350821","0.333333333333333","14","guppy","guppy","low_risk","14"
"2","0.619551931956732","1","14","guppy","guppy","low_risk","14"
"3","0.607595952537471","0.5","14","guppy","guppy","low_risk","14"
"4","0.717845430598106","0","14","guppy","guppy","low_risk","14"
"5","0.831848177933054","0","14","guppy","guppy","low_risk","14"
"6","1","0","14","guppy","guppy","low_risk","14"
"7","0.766102076593444","0","14","guppy","guppy","low_risk","14"
"8","0.782645898728543","0","14","guppy","guppy","low_risk","14"
"1","1","0","14","guppy","guppy","low_risk","15"
"2","0.775485728106095","0","14","guppy","guppy","low_risk","15"
"3","0.619499911804196","1","14","guppy","guppy","low_risk","15"
"4","0.870064625439928","0.181818181818182","14","guppy","guppy","low_risk","15"
"5","0.85515825991106","0","14","guppy","guppy","low_risk","15"
"6","0.822851016615417","0.181818181818182","14","guppy","guppy","low_risk","15"
"7","0.663354042696396","0.545454545454545","14","guppy","guppy","low_risk","15"
"8","0.989324700633812","0","14","guppy","guppy","low_risk","15"
"1","0.803958329983354","NaN","12","guppy","guppy","low_risk","16"
"2","0.811430150885644","NaN","12","guppy","guppy","low_risk","16"
"3","0.886044531834884","NaN","12","guppy","guppy","low_risk","16"
"4","0.847493437610281","NaN","12","guppy","guppy","low_risk","16"
"5","0.80185750586398","NaN","12","guppy","guppy","low_risk","16"
"6","0.725081377711322","NaN","12","guppy","guppy","low_risk","16"
"7","1","NaN","12","guppy","guppy","low_risk","16"
"1","0.865646255532058","0.25","14","guppy","guppy","high_risk","1"
"2","0.642618909975484","0.875","12","guppy","guppy","high_risk","1"
"3","0.501993188783013","0.25","12","guppy","guppy","high_risk","1"
"4","0.949503456146411","0","12","guppy","guppy","high_risk","1"
"5","1","0","12","guppy","guppy","high_risk","1"
"6","0.700675510600603","1","14","guppy","guppy","high_risk","1"
"7","0.827874869307625","0.25","14","guppy","guppy","high_risk","1"
"8","0.938739528647472","0","14","guppy","guppy","high_risk","1"
"1","0.714096538587005","0","13","guppy","guppy","high_risk","2"
"2","0.923312645280884","0","13","guppy","guppy","high_risk","2"
"3","0.62847191045438","0.117647058823529","13","guppy","guppy","high_risk","2"
"4","0.888716320951298","0","13","guppy","guppy","high_risk","2"
"5","0.915772500001066","0","13","guppy","guppy","high_risk","2"
"6","0.789300539272031","1","13","guppy","guppy","high_risk","2"
"7","0.589272314147355","0.823529411764706","13","guppy","guppy","high_risk","2"
"8","1","0","7","guppy","guppy","high_risk","2"
"1","0.72146161133644","0.6","14","guppy","guppy","high_risk","3"
"2","0.846150297457529","0.4","14","guppy","guppy","high_risk","3"
"3","0.979687687763088","0","14","guppy","guppy","high_risk","3"
"4","0.771887300673717","0","14","guppy","guppy","high_risk","3"
"5","0.874966421169459","0.2","14","guppy","guppy","high_risk","3"
"6","1","0","14","guppy","guppy","high_risk","3"
"7","0.891541886753544","1","14","guppy","guppy","high_risk","3"
"8","0.892131787473451","0.8","14","guppy","guppy","high_risk","3"
"1","0.756280568877816","0","14","guppy","guppy","high_risk","4"
"2","0.5494979984608","0.5","14","guppy","guppy","high_risk","4"
"3","0.954802002057233","0","14","guppy","guppy","high_risk","4"
