TREAMENT,TREATEMENT_PERIOD,NODE,DEGREE,DEGREE_NORMALIZED,EIGENVECTOR,CLOSENESS_CENTRALITY,BETWEENNESS_CENTRALITY
T3,1,PT,12,0.428571429,0.182444056,0.636363636,0.011713031
T3,1,VC,12,0.428571429,0.180806518,0.636363636,0.010896913
T3,1,PE,11,0.392857143,0.151406882,0.622222222,0.020415413
T3,1,PM,11,0.392857143,0.149474087,0.622222222,0.014242025
T3,1,PO,10,0.357142857,0.139603433,0.608695652,0.015900369
T3,1,VM,4,0.142857143,0.050042759,0.509090909,0
T3,1,PU,15,0.535714286,0.225764977,0.682926829,0.019837376
T3,1,VE,10,0.357142857,0.14237417,0.608695652,0.011133348
T3,1,PX,10,0.357142857,0.132209718,0.608695652,0.018625952
T3,1,VK,4,0.142857143,0.056495227,0.528301887,0.000823045
T3,2,PA,13,0.464285714,0.201515493,0.651162791,0.042265715
T3,2,PD,10,0.357142857,0.163114905,0.595744681,0.01477363
T3,2,PK,14,0.5,0.233908855,0.666666667,0.037105047
T3,2,VA,17,0.607142857,0.282100463,0.717948718,0.056267013
T3,2,VC,7,0.25,0.1121472,0.571428571,0.007883541
T3,2,VD,10,0.357142857,0.185573646,0.608695652,0.011957443
T3,2,VE,13,0.464285714,0.225753691,0.651162791,0.025369244
T3,2,VK,9,0.321428571,0.16175117,0.595744681,0.009948752
T3,2,VL,15,0.535714286,0.236725503,0.682926829,0.055971622
T3,2,VO,12,0.428571429,0.209840098,0.636363636,0.021656474
T3,2,VT,9,0.321428571,0.132114169,0.571428571,0.015633419
T3,2,VU,8,0.285714286,0.136616313,0.583333333,0.009024992
T3,2,VV,8,0.285714286,0.121896314,0.571428571,0.014676813
T3,2,VZ,8,0.285714286,0.123384948,0.583333333,0.014486968
T3,2,PU,11,0.392857143,0.155297783,0.622222222,0.03259298
T3,2,VH,12,0.428571429,0.206334848,0.636363636,0.026501313
T3,2,VS,9,0.321428571,0.153304642,0.595744681,0.012658616
T3,2,PE,12,0.428571429,0.203093958,0.636363636,0.023341312
T3,2,PM,10,0.357142857,0.189130817,0.608695652,0.008945464
T3,2,PS,13,0.464285714,0.199228501,0.651162791,0.04281424
T3,2,VM,14,0.5,0.239709646,0.666666667,0.038090371
T3,2,VX,14,0.5,0.235553444,0.666666667,0.039974194
T3,2,PH,7,0.25,0.111149494,0.56,0.010054055
T3,2,PP,7,0.25,0.112370804,0.571428571,0.009472384
T3,2,PX,13,0.464285714,0.232888706,0.651162791,0.02376624
T3,2,PZ,13,0.464285714,0.228383812,0.651162791,0.028783584
T3,2,PL,11,0.392857143,0.167482973,0.608695652,0.027714547
T3,2,PO,9,0.321428571,0.150200065,0.583333333,0.012579256
T3,2,PT,4,0.142857143,0.078980002,0.509090909,0.000293945
T4,1,DA,13,0.448275862,0.23054555,0.644444444,0.026899093
T4,1,DD,10,0.344827586,0.170800085,0.604166667,0.011907783
T4,1,DE,17,0.586206897,0.253829514,0.707317073,0.079001324
T4,1,DK,10,0.344827586,0.19038185,0.604166667,0.007790875
T4,1,DL,13,0.448275862,0.23131478,0.644444444,0.019680947
T4,1,DP,11,0.379310345,0.210915554,0.617021277,0.009444729
T4,1,TE,15,0.517241379,0.239319506,0.674418605,0.045742354
T4,1,TK,13,0.448275862,0.223770722,0.630434783,0.025246478
T4,1,TL,14,0.482758621,0.23622411,0.644444444,0.034706451
T4,1,TM,9,0.310344828,0.165226109,0.568627451,0.00601298
T4,1,TP,19,0.655172414,0.313295956,0.743589744,0.064195171
T4,1,TS,7,0.24137931,0.092339523,0.568627451,0.014098513
T4,1,TU,12,0.413793103,0.202381056,0.630434783,0.055466079
T4,1,TZ,11,0.379310345,0.188178009,0.604166667,0.017957298
T4,1,DC,6,0.206896552,0.097874613,0.557692308,0.003824576
T4,1,DS,12,0.413793103,0.204558197,0.617021277,0.024651297
T4,1,TC,15,0.517241379,0.211557142,0.674418605,0.068757887
T4,1,TT,9,0.310344828,0.141767827,0.591836735,0.011919512
T4,1,TV,9,0.310344828,0.154289649,0.591836735,0.012912464
T4,1,DM,12,0.413793103,0.198973926,0.617021277,0.021528209
T4,1,DU,12,0.413793103,0.184259972,0.617021277,0.034069296
T4,1,TH,8,0.275862069,0.106250206,0.58,0.033829122
T4,1,TX,15,0.517241379,0.226432985,0.674418605,0.065032748
T4,1,DX,4,0.137931034,0.071846164,0.50877193,0.000766284
T4,1,DZ,5,0.172413793,0.088231451,0.537037037,0.003393541
T4,1,TA,8,0.275862069,0.145404393,0.568627451,0.008084362
T4,1,TO,8,0.275862069,0.129706575,0.568627451,0.012618443
T4,1,DH,5,0.172413793,0.079594319,0.527272727,0.002463054
T4,1,DO,2,0.068965517,0.02617895,0.426470588,0.000615764
T4,1,DV,6,0.206896552,0.106727085,0.537037037,0.003984352
T4,2,DA,14,0.482758621,0.227978404,0.659090909,0.019979924
T4,2,DD,9,0.310344828,0.130555585,0.58,0.012731644
T4,2,DE,18,0.620689655,0.276846678,0.725,0.047029674
T4,2,DH,11,0.379310345,0.168483967,0.617021277,0.016584339
T4,2,DL,10,0.344827586,0.172184433,0.604166667,0.007784424
T4,2,DM,13,0.448275862,0.204305865,0.644444444,0.024760106
T4,2,DU,16,0.551724138,0.243937294,0.69047619,0.041443607
T4,2,TA,16,0.551724138,0.238972724,0.69047619,0.04448145
T4,2,TC,11,0.379310345,0.166689922,0.617021277,0.020980921
T4,2,TE,15,0.517241379,0.224555583,0.674418605,0.032655212
T4,2,TL,14,0.482758621,0.223081826,0.659090909,0.02408103
T4,2,TP,15,0.517241379,0.243125707,0.674418605,0.025692203
T4,2,TS,14,0.482758621,0.210764707,0.659090909,0.029211041
T4,2,TT,10,0.344827586,0.152440794,0.591836735,0.013599578
T4,2,TX,12,0.413793103,0.187763238,0.630434783,0.021619517
T4,2,DC,9,0.310344828,0.114423516,0.591836735,0.021423
T4,2,DZ,11,0.379310345,0.156884306,0.617021277,0.023087825
T4,2,TK,10,0.344827586,0.142913295,0.591836735,0.015684466
T4,2,TO,7,0.24137931,0.098089607,0.557692308,0.006620924
T4,2,TU,5,0.172413793,0.065893212,0.537037037,0.00455665
T4,2,DO,12,0.413793103,0.169834424,0.630434783,0.032478978
T4,2,DP,12,0.413793103,0.177061846,0.630434783,0.022593333
T4,2,DV,10,0.344827586,0.137782959,0.604166667,0.02240704
T4,2,TH,12,0.413793103,0.183209929,0.630434783,0.025928532
T4,2,TM,12,0.413793103,0.190345415,0.630434783,0.019167485
T4,2,TV,15,0.517241379,0.238368811,0.674418605,0.02758835
T4,2,TZ,12,0.413793103,0.186432273,0.630434783,0.020813288
T4,2,DK,9,0.310344828,0.125780122,0.591836735,0.014681434
T4,2,DS,7,0.24137931,0.10669588,0.517857143,0.006242669
T4,2,DX,7,0.24137931,0.089981111,0.568627451,0.009263768
