"","network","animal","condition","replicate_number","network_id","betweenness_centrality","eigenvector_centrality","degree","node_id"
"172","tits_2015","tits","before",1,1,0.000935914486971085,0.0059236814918391,16,"68"
"173","tits_2015","tits","before",1,1,0,0.000121448230331928,2,"29"
"174","tits_2015","tits","before",1,1,0.00253682084626373,0.00927142223745294,19,"95"
"175","tits_2015","tits","before",1,1,0,0.587567543214025,78,"297"
"176","tits_2015","tits","before",1,1,0,0.246272234774591,71,"324"
"177","tits_2015","tits","before",1,1,0.000755299410538069,0.011547568971545,21,"175"
"178","tits_2015","tits","before",1,1,0,0.00822410675260881,13,"158"
"179","tits_2015","tits","before",1,1,0.00300477808974927,0.0030725416879593,11,"108"
"180","tits_2015","tits","before",1,1,0.00044332791488104,0.0142797201043096,22,"118"
"181","tits_2015","tits","before",1,1,0,0.00338049304154928,9,"106"
"182","tits_2015","tits","before",1,1,0.00337421801881681,0.00569736659437354,16,"135"
"183","tits_2015","tits","before",1,1,4.92586572090045e-05,0.00181694214324493,6,"181"
"184","tits_2015","tits","before",1,1,0,0.000129941963603183,2,"229"
"185","tits_2015","tits","before",1,1,0,0.00342339533325654,9,"57"
"186","tits_2015","tits","before",1,1,2.46293286045022e-05,0.00526409232419031,12,"130"
"187","tits_2015","tits","before",1,1,2.46293286045022e-05,0.00526409232419027,12,"96"
"188","tits_2015","tits","before",1,1,0,2.8278952601523e-05,6,"166"
"189","tits_2015","tits","before",1,1,0.00748731589576868,0.0295582814105698,38,"148"
"190","tits_2015","tits","before",1,1,0.000640362543717058,0.00888779192126354,20,"109"
"191","tits_2015","tits","before",1,1,0.000640362543717058,2.46489311004176e-05,5,"102"
"192","tits_2015","tits","before",1,1,0.0815230776809024,0.00534444579606453,20,"161"
"193","tits_2015","tits","before",1,1,0,2.47516471754584e-05,7,"136"
"194","tits_2015","tits","before",1,1,0.000344810600463031,0.00448938786873092,14,"156"
"195","tits_2015","tits","before",1,1,0,0.00335844244062059,8,"63"
"196","tits_2015","tits","before",1,1,0,1.15212629227671e-05,2,"75"
"197","tits_2015","tits","before",1,1,0.000295551943254027,0.000265903044264765,10,"127"
"198","tits_2015","tits","before",1,1,0,0.00146905472598112,6,"79"
"199","tits_2015","tits","before",1,1,0.00262712838448024,0.0147235194327842,32,"196"
"200","tits_2015","tits","before",1,1,0,9.95827108663074e-05,2,"150"
"201","tits_2015","tits","before",1,1,0,0.00200681410653896,6,"116"
"202","tits_2015","tits","before",1,1,0.00211812225998719,0.0650131768323512,44,"231"
"203","tits_2015","tits","before",1,1,0,5.95239944513269e-06,3,"185"
"204","tits_2015","tits","after",1,1,0,0.00381447966141595,30,"260"
"205","tits_2015","tits","after",1,1,0.155009384216641,0.00439487040783831,62,"338"
"206","tits_2015","tits","after",1,1,0,5.58102129810847e-05,19,"115"
"207","tits_2015","tits","after",1,1,3.57493967289302e-05,0.00465113811857586,36,"320"
"208","tits_2015","tits","after",1,1,0,0.00462529237743769,34,"277"
"209","tits_2015","tits","after",1,1,0.0243632138707659,0.00455575118966411,42,"289"
"210","tits_2015","tits","after",1,1,0,0.00107799870316721,26,"268"
"211","tits_2015","tits","after",1,1,1.78746983644651e-05,0.00391175453147667,41,"247"
"212","tits_2015","tits","after",1,1,0.00214496380373581,0.00292194338869956,35,"326"
"213","tits_2015","tits","after",1,1,0,0.000316967135754397,13,"197"
"214","tits_2015","tits","after",1,1,7.14987934578604e-05,8.77159713838135e-05,13,"206"
"215","tits_2015","tits","after",1,1,0.000125122888551256,0.00350185701053681,33,"302"
"216","tits_2015","tits","after",1,1,0.000411118062382697,0.00262719252131014,32,"306"
"217","tits_2015","tits","after",1,1,0,0.00048971456707419,13,"201"
"218","tits_2015","tits","after",1,1,0,0.000364338710205054,4,"151"
"219","tits_2015","tits","after",1,1,0.00580927696845116,0.00240698612434345,40,"295"
"220","tits_2015","tits","after",1,1,0.00110823129859684,0.230113872206761,110,"280"
"221","tits_2015","tits","after",1,1,0.000142997586915721,0.000903296670675842,29,"221"
"222","tits_2015","tits","after",1,1,0.0282777728125838,0.00402155525418549,47,"279"
"223","tits_2015","tits","after",1,1,0.036089015997855,0.00372671940181512,54,"305"
"224","tits_2015","tits","after",1,1,0,0.000117262074867764,11,"189"
"225","tits_2015","tits","after",1,1,5.36240950933953e-05,0.00324379533786136,44,"262"
"226","tits_2015","tits","after",1,1,0,0.000113149425350455,17,"213"
"227","tits_2015","tits","after",1,1,0.0103137009562964,0.00304176926858812,43,"265"
"228","tits_2015","tits","after",1,1,7.14987934578604e-05,0.00313072641831825,44,"271"
"229","tits_2015","tits","after",1,1,0,5.38598830877201e-07,6,"173"
"230","tits_2015","tits","after",1,1,0.00657788899812316,0.000173410750519805,32,"293"
"231","tits_2015","tits","after",1,1,0.0346590401286978,0.000249841876376346,52,"334"
"232","tits_2015","tits","after",1,1,0,1.06833733713567e-07,3,"171"
"233","tits_2015","tits","after",1,1,0.0216820091160962,0.00020347622770814,43,"287"
"234","tits_2015","tits","after",1,1,0.0141746358030208,0.000104502859793154,30,"290"
"235","tits_2015","tits","after",1,1,0,1.56079574272619e-07,3,"163"
"236","tits_2015","tits","after",1,1,0.00627401912592725,0.000154310227328365,30,"228"
"237","tits_2015","tits","after",1,1,0,2.38038619476839e-05,20,"207"
"238","tits_2015","tits","after",1,1,0.0183930646170346,0.000277614133648613,44,"337"
"239","tits_2015","tits","after",1,1,0.00591652515863795,0.00028330230331407,43,"336"
"240","tits_2015","tits","after",1,1,3.57493967289302e-05,0.0450956727582314,71,"199"
"241","tits_2015","tits","after",1,1,0,0.000224916205595328,6,"176"
"242","tits_2015","tits","after",1,1,0.0022522119939226,0.499320064064336,129,"327"
"243","tits_2015","tits","after",1,1,0.0799177763875235,0.00796446668083557,43,"282"
"244","tits_2015","tits","after",1,1,0.103566002323711,0.0184538889515342,80,"329"
"245","tits_2015","tits","after",1,1,0,0.00110827447410225,14,"177"
"246","tits_2015","tits","after",1,1,0.0026097059612119,0.00406183133402299,29,"205"
"247","tits_2015","tits","after",1,1,0.00589865046027348,0.00884817038886529,47,"278"
"248","tits_2015","tits","after",1,1,0.0103673250513898,0.010184777104252,44,"275"
"249","tits_2015","tits","after",1,1,0.0565019215300742,0.141266556796386,125,"332"
"250","tits_2015","tits","after",1,1,0.00836535883456967,0.668656884078771,122,"298"
"251","tits_2015","tits","after",1,1,0.0194655465189025,0.238058286770898,100,"322"
"252","tits_2015","tits","after",1,1,0.0071677540441505,0.190081881158937,92,"257"
"253","tits_2015","tits","after",1,1,0.00168022164625972,0.35431971827643,117,"285"
"254","tits_2015","tits","after",1,1,0.00218071320046474,0.106162682036439,95,"274"
"255","tits_2015","tits","after",1,1,0.0544642059165252,0.177678214327881,97,"328"
"256","tits_2015","tits","after",1,1,0.00418267941728483,0.0718917512900875,64,"246"
"257","tits_2015","tits","after",1,1,0,0.000711700596162766,6,"152"
"258","tits_2015","tits","after",1,1,0.00387880954508893,0.894776661340262,123,"323"
"259","tits_2015","tits","after",1,1,0.00110823129859684,0.0945403086391035,73,"226"
"260","tits_2015","tits","after",1,1,0.0138171418357315,0.209250855132833,109,"315"
"261","tits_2015","tits","after",1,1,0.00277057824649209,0.0110580155820034,70,"217"
"262","tits_2015","tits","after",1,1,0,0.12147438528511,76,"216"
"263","tits_2015","tits","after",1,1,0.0200196621682009,0.00423633427051493,50,"291"
"264","tits_2015","tits","after",1,1,0.0156761104656359,0.00335484924350615,52,"269"
"265","tits_2015","tits","after",1,1,0,0.00198674527708777,35,"259"
"266","tits_2015","tits","after",1,1,0,2.32725239958957e-06,8,"194"
"267","tits_2015","tits","after",1,1,0.000893734918223255,0.000216991121463348,32,"266"
"268","tits_2015","tits","after",1,1,3.57493967289302e-05,1.33087415974706e-06,12,"164"
"269","tits_2015","tits","after",1,1,0.00100098310841005,0.000606569566562995,23,"182"
"270","tits_2015","tits","after",1,1,0.00781124318527125,0.685118371972271,135,"325"
"271","tits_2015","tits","after",1,1,0.000563052998480651,0.0108261773622879,42,"186"
"272","tits_2015","tits","after",1,1,0.000214496380373581,0.00523344527988967,27,"220"
"273","tits_2015","tits","after",1,1,0,0.00404186177762528,16,"210"
"274","tits_2015","tits","after",1,1,0.027938153543659,0.0517836029495775,81,"303"
"275","tits_2015","tits","after",1,1,0.00518366252569488,0.044501072071245,71,"299"
"276","tits_2015","tits","after",1,1,0.000107248190186791,0.265850881059556,92,"240"
"277","tits_2015","tits","after",1,1,0.0279739029403879,0.258000447986513,114,"333"
"278","tits_2015","tits","after",1,1,0.00169809634462418,0.010355457742595,57,"195"
"279","tits_2015","tits","after",1,1,0.00325319510233265,0.0530100523188923,95,"314"
"280","tits_2015","tits","after",1,1,3.57493967289302e-05,0.00368338740028856,26,"209"
"281","tits_2015","tits","after",1,1,0.00218071320046474,0.791937930454875,123,"310"
"282","tits_2015","tits","after",1,1,0.00130485298060595,0.0282125449114129,53,"256"
"283","tits_2015","tits","after",1,1,0.0018947180266333,0.162907922366863,103,"263"
"284","tits_2015","tits","after",1,1,3.57493967289302e-05,0.235886459158198,101,"288"
"285","tits_2015","tits","after",1,1,0.00291357583340781,0.282365292594039,95,"251"
"286","tits_2015","tits","after",1,1,1.78746983644651e-05,0.266754382132262,99,"238"
"287","tits_2015","tits","after",1,1,0.000285995173831442,0.000302684221804307,24,"208"
"288","tits_2015","tits","after",1,1,0.000428992760747162,0.0367046457720774,80,"211"
"289","tits_2015","tits","after",1,1,0.00729287693270176,0.621184973980254,107,"250"
"290","tits_2015","tits","after",1,1,0,0.598501254881208,101,"236"
"291","tits_2015","tits","after",1,1,0.0674948610242202,0.789401103219543,132,"267"
"292","tits_2015","tits","after",1,1,0,3.10494337997886e-06,3,"193"
"293","tits_2015","tits","after",1,1,0,0.00122688268293669,23,"214"
"294","tits_2015","tits","after",1,1,0.00212708910537135,0.000367904194254208,26,"162"
"295","tits_2015","tits","after",1,1,0.00178746983644651,0.000201313804738896,33,"222"
"296","tits_2015","tits","after",1,1,0,0.000155942289585352,13,"200"
"297","tits_2015","tits","after",1,1,0.0174457056037179,0.000505301184351282,56,"309"
"298","tits_2015","tits","after",1,1,0,4.11039667353213e-07,6,"155"
"299","tits_2015","tits","after",1,1,0.0698364465099651,0.00106366033946761,47,"272"
"300","tits_2015","tits","after",1,1,0.0105818214317633,0.000180914999523284,38,"258"
"301","tits_2015","tits","after",1,1,0,1.25554576223698e-06,8,"183"
"302","tits_2015","tits","after",1,1,0,1.28139190593217e-06,12,"187"
"303","tits_2015","tits","after",1,1,0,3.62157276501552e-06,1,"149"
"304","tits_2015","tits","after",1,1,0.0833139690767718,0.912524464578684,138,"335"
"305","tits_2015","tits","after",1,1,0.0103137009562964,0.815046388015528,131,"330"
"306","tits_2015","tits","after",1,1,0.0393422111001877,0.417178858319591,123,"312"
"307","tits_2015","tits","after",1,1,0.00457592278130307,0.401167610917261,116,"273"
"308","tits_2015","tits","after",1,1,0.00332469389579051,0.358413789892859,112,"283"
"309","tits_2015","tits","after",1,1,0,0.147642117489352,79,"203"
"310","tits_2015","tits","after",1,1,0.00103673250513898,0.305054738090078,111,"281"
"311","tits_2015","tits","after",1,1,0.0231656090803468,0.91853526340385,123,"319"
"312","tits_2015","tits","after",1,1,0,0.00257813203412423,13,"190"
"313","tits_2015","tits","after",1,1,0,0.252793749686908,81,"239"
"314","tits_2015","tits","after",1,1,0.0431852712485477,0.505355243272801,125,"296"
"315","tits_2015","tits","after",1,1,0.0152471177048887,0.405227579542435,126,"311"
"316","tits_2015","tits","after",1,1,1.78746983644651e-05,0.212162438683131,96,"233"
"317","tits_2015","tits","after",1,1,0.218875681472875,1,149,"339"
"318","tits_2015","tits","after",1,1,0.0124765394583966,0.45074349032548,122,"318"
"319","tits_2015","tits","after",1,1,0.0104566985432121,0.409580733015458,125,"276"
"320","tits_2015","tits","after",1,1,0,0.461880632631481,106,"244"
"321","tits_2015","tits","after",1,1,0.000732862632943069,0.696730537793131,114,"237"
"322","tits_2015","tits","after",1,1,0.000983108410045581,0.525814325070108,87,"254"
"323","tits_2015","tits","after",1,1,0,0.204977058544488,85,"225"
"324","tits_2015","tits","after",1,1,0.000353025292698186,0.00702131841569781,35,"133"
"325","tits_2015","tits","after",1,1,0.000464742157476093,0.294364763072282,109,"230"
"326","tits_2015","tits","after",1,1,0.00091160961658772,0.626161287661167,107,"245"
"327","tits_2015","tits","after",1,1,0.000160872285280186,0.00703600838831793,29,"180"
"328","tits_2015","tits","after",1,1,0.00237733488247386,0.5716826346582,112,"284"
"329","tits_2015","tits","after",1,1,0.123442666904996,0.557919809416461,150,"331"
"330","tits_2015","tits","after",1,1,0.0383054785950487,0.79126117932672,124,"308"
"331","tits_2015","tits","after",1,1,0.0158012333541871,0.429343934505714,114,"313"
"332","tits_2015","tits","after",1,1,0.00126910358387702,0.72143554303132,103,"270"
"333","tits_2015","tits","after",1,1,0,0.000922799076790286,11,"99"
"334","tits_2015","tits","after",1,1,0,0.0012564604700386,9,"119"
"335","tits_2015","tits","after",1,1,0,1.63998937063958e-06,11,"131"
"336","tits_2015","tits","after",1,1,0.000178746983644651,0.0294604239940043,48,"192"
"337","tits_2015","tits","after",1,1,4.46867459111628e-05,0.00502714521455944,32,"165"
"338","tits_2015","tits","after",1,1,0.00616677093574046,0.732970492248307,123,"249"
"339","tits_2015","tits","after",1,1,0.00176959513808204,0.81548594365445,121,"255"
"340","tits_2015","tits","after",1,1,0.00473679506658325,0.825718793648534,114,"253"
"341","tits_2015","tits","after",1,1,0,5.58986468978335e-05,5,"132"
"342","tits_2015","tits","after",1,1,0,0.00391773787904274,21,"191"
"343","tits_2015","tits","after",1,1,0,0.000472625377213264,6,"137"
"344","tits_2015","tits","after",1,1,0.0356957726338368,0.00681905288088565,73,"264"
"345","tits_2015","tits","after",1,1,0.000554115649298418,0.0091448361644021,40,"167"
