Network/Study,Condition,Animal,Year,Betweenness,Eigenvector_Centrality,Degree,Node ID
LantzAndKarubian2017,Post,Fairywrens,2014,0,7.71E-18,2,XXB
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.16E-17,3,XXW
LantzAndKarubian2017,Post,Fairywrens,2014,0,2.47E-16,25,XXX
LantzAndKarubian2017,Post,Fairywrens,2014,0,2.31E-17,4,XXY
LantzAndKarubian2017,Pre,Fairywrens,2014,0,3.96E-18,2,XXY
LantzAndKarubian2017,Post,Fairywrens,2014,0,7.71E-18,2,YAF
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.54E-17,4,YBF
LantzAndKarubian2017,Pre,Fairywrens,2014,0,7.72E-19,2,YBF
LantzAndKarubian2017,Post,Fairywrens,2014,0,4.63E-17,12,YBY
LantzAndKarubian2017,Pre,Fairywrens,2014,0,0.695291596,34,YBY
LantzAndKarubian2017,Post,Fairywrens,2014,22.7030303,3.08E-17,25,YEW
LantzAndKarubian2017,Pre,Fairywrens,2014,0,6.82E-18,3,YEW
LantzAndKarubian2017,Post,Fairywrens,2014,0,1.39E-16,12,YEY
LantzAndKarubian2017,Post,Fairywrens,2014,78,1.85E-16,36,YFE
LantzAndKarubian2017,Pre,Fairywrens,2014,1,0,2,YFE
LantzAndKarubian2017,Post,Fairywrens,2014,0,0.989518098,76,YWB
LantzAndKarubian2017,Post,Fairywrens,2014,0.973684211,3.08E-17,22,YYE
LantzAndKarubian2017,Pre,Fairywrens,2014,0.454545455,6.25E-17,14,YYE
LantzAndKarubian2017,Post,Fairywrens,2014,11.2,3.08E-17,20,YYF
LantzAndKarubian2017,Pre,Fairywrens,2014,0,3.70E-17,12,YYF
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.61E-16,2,AFG
LantzAndKarubian2017,Post,Fairywrens,2013,0,6.40E-17,8,AFY
LantzAndKarubian2017,Pre,Fairywrens,2013,0,7.18E-17,1,AGW
LantzAndKarubian2017,Post,Fairywrens,2013,0,6.01E-17,11,AWG
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.88E-16,2,AYB
LantzAndKarubian2017,Post,Fairywrens,2013,0.633333333,0.628043688,22,BAB
LantzAndKarubian2017,Post,Fairywrens,2013,0.633333333,1,33,BAG
LantzAndKarubian2017,Pre,Fairywrens,2013,0,0,1,BAG
LantzAndKarubian2017,Post,Fairywrens,2013,0.363636364,1.40E-16,13,BEE
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.28E-16,2,BEE
LantzAndKarubian2017,Pre,Fairywrens,2013,0,1.67E-16,2,BGB
LantzAndKarubian2017,Post,Fairywrens,2013,0,7.89E-18,2,BGF
LantzAndKarubian2017,Pre,Fairywrens,2013,0,2.65E-17,1,BGF
LantzAndKarubian2017,Post,Fairywrens,2013,0.633333333,1,33,BWB
LantzAndKarubian2017,Pre,Fairywrens,2013,3,0,3,BWB
LantzAndKarubian2017,Post,Fairywrens,2013,1.454545455,1.16E-16,18,BYG
