"network","animal","condition","replicate_num","density","n_nodes","effective_information"
"mouse_no_injection","mouse","before","8","0.333333333333333","31","0.325648092394115"
"mouse_no_injection","mouse","before","9","0.516666666666667","16","0.255327256966465"
"mouse_no_injection","mouse","before","10","0.330065359477124","18","0.409871004974106"
"mouse_no_injection","mouse","before","11","0.551666666666667","25","0.207920900164173"
"mouse_no_injection","mouse","before","12","0.569047619047619","21","0.217667284641708"
"mouse_no_injection","mouse","before","13","0.431578947368421","20","0.300182717008028"
"mouse_no_injection","mouse","before","14","0.752307692307692","26","0.0944198156699009"
"mouse_no_injection","mouse","before","15","0.6125","16","0.24793610251656"
"mouse_no_injection","mouse","before","16","0.386363636363636","12","0.436701775884515"
"mouse_no_injection","mouse","before","17","0.741830065359477","18","0.118156650454492"
"mouse_no_injection","mouse","before","18","0.594771241830065","18","0.188931157150435"
"mouse_no_injection","mouse","before","19","0.756923076923077","26","0.0955193962134278"
"mouse_no_injection","mouse","before","20","0.479166666666667","16","0.232890309293004"
"mouse_no_injection","mouse","before","21","0.573563218390805","30","0.192356560085195"
"mouse_no_injection","mouse","before","22","0.7","10","0.182864992702347"
"mouse_no_injection","mouse","before","23","0.702205882352941","17","0.134995125415412"
"mouse_no_injection","mouse","before","24","0.429166666666667","16","0.311749560488263"
"mouse_no_injection","mouse","before","25","0.486928104575163","18","0.348431643494944"
"mouse_no_injection","mouse","before","26","0.466666666666667","15","0.286122699990732"
"mouse_no_injection","mouse","before","27","0.710526315789474","19","0.138243612736053"
"mouse_no_injection","mouse","before","28","0.475","16","0.273106092866573"
"mouse_no_injection","mouse","before","29","0.529411764705882","18","0.248706148105124"
"mouse_no_injection","mouse","before","30","0.418300653594771","18","0.280267299945907"
"mouse_no_injection","mouse","before","31","0.733695652173913","24","0.134762554754748"
"mouse_no_injection","mouse","before","32","0.745614035087719","19","0.13146755638368"
"mouse_no_injection","mouse","before","33","0.590909090909091","12","0.255816779001423"
"mouse_no_injection","mouse","before","34","0.477207977207977","27","0.233892744697884"
"mouse_no_injection","mouse","before","35","0.69047619047619","15","0.188198029786108"
"mouse_no_injection","mouse","before","36","0.675","16","0.158121282431444"
"mouse_no_injection","mouse","before","37","0.545454545454545","11","0.285414132392661"
"mouse_no_injection","mouse","before","38","0.350877192982456","19","0.389452316519132"
"mouse_no_injection","mouse","before","39","0.388888888888889","10","0.453522821324871"
"mouse_no_injection","mouse","before","40","0.660818713450292","19","0.169209825413513"
"mouse_no_injection","mouse","before","41","0.775641025641026","13","0.112463097762163"
"mouse_no_injection","mouse","before","42","0.729166666666667","16","0.144526196395276"
"mouse_no_injection","mouse","before","43","0.576923076923077","14","0.230473007603786"
"mouse_no_injection","mouse","before","44","0.404411764705882","17","0.362041077680541"
"mouse_no_injection","mouse","before","45","0.989010989010989","14","0.0324092950526691"
"mouse_no_injection","mouse","before","46","0.760526315789474","20","0.121466564948901"
"mouse_no_injection","mouse","before","47","0.787878787878788","12","0.122201492414982"
