"","trt","id1","id2","distance","weight"
"134","HB","NU77","NU80",38.1868309989566,2
"135","HB","NU77","NU78",27.4163062243825,3
"136","HB","NU77","NU79",44.0600541628867,1
"137","HB","NU78","NU79",30.4097357892037,2
"138","HB","NU78","NU80",12.3910581854983,4
"139","HB","NU79","NU80",23.4227732067802,3
"140","HB","NU82","NU98",27.3623391230961,3
"141","HB","NU84","NU79",25.2684673503002,3
"142","HB","NU84","NU77",38.7475344230213,2
"143","HB","NU84","NU80",1.89598719220689,5
"144","HB","NU84","NU78",12.2451439875256,4
"145","HB","NU86","NU82",27.8667817614317,3
"146","HB","NU86","NU98",0.94800276089916,5
"147","HB","NU87","NU108",6.94306944339003,5
"148","HB","NU89","NU87",0.948011927873104,5
"149","HB","NU89","NU108",7.25946618363582,5
"150","HB","NU93","NU94",7.99138826866392,5
"151","HB","NU96","NU118",14.85771361171,4
"152","HB","NU96","NU116",48.3695640423317,1
"153","HB","NU96","NU117",23.7117744877679,3
"154","HB","NU96","NU95",0.947985142805584,5
