guppy1,guppy2,weight
1,1,0
1,2,17
1,3,1
1,4,21
1,5,14
1,6,14
1,7,6
1,8,17
2,1,17
2,2,0
2,3,10
2,4,13
2,5,13
2,6,22
2,7,7
2,8,25
3,1,1
3,2,10
3,3,0
3,4,14
3,5,7
3,6,10
3,7,12
3,8,10
4,1,21
4,2,13
4,3,14
4,4,0
4,5,17
4,6,18
4,7,10
4,8,19
5,1,14
5,2,13
5,3,7
5,4,17
5,5,0
5,6,13
5,7,11
5,8,14
6,1,14
6,2,22
6,3,10
6,4,18
6,5,13
6,6,0
6,7,4
6,8,13
7,1,6
7,2,7
7,3,12
7,4,10
7,5,11
7,6,4
7,7,0
7,8,8
8,1,17
8,2,25
8,3,10
8,4,19
8,5,14
8,6,13
8,7,8
8,8,0
