guppy1,guppy2,weight
1,1,0
1,2,11
1,3,5
1,4,6
1,5,6
1,6,6
1,7,14
1,8,7
2,1,11
2,2,0
2,3,15
2,4,18
2,5,15
2,6,18
2,7,22
2,8,13
3,1,5
3,2,15
3,3,0
3,4,14
3,5,16
3,6,17
3,7,17
3,8,17
4,1,6
4,2,18
4,3,14
4,4,0
4,5,13
4,6,18
4,7,18
4,8,11
5,1,6
5,2,15
5,3,16
5,4,13
5,5,0
5,6,15
5,7,16
5,8,11
6,1,6
6,2,18
6,3,17
6,4,18
6,5,15
6,6,0
6,7,16
6,8,7
7,1,14
7,2,22
7,3,17
7,4,18
7,5,16
7,6,16
7,7,0
7,8,7
8,1,7
8,2,13
8,3,17
8,4,11
8,5,11
8,6,7
8,7,7
8,8,0
