guppy1,guppy2,weight
1,1,0
1,2,15
1,3,11
1,4,4
1,5,17
1,6,10
1,7,24
1,8,8
2,1,15
2,2,0
2,3,7
2,4,3
2,5,5
2,6,11
2,7,9
2,8,6
3,1,11
3,2,7
3,3,0
3,4,9
3,5,8
3,6,6
3,7,4
3,8,7
4,1,4
4,2,3
4,3,9
4,4,0
4,5,3
4,6,2
4,7,0
4,8,8
5,1,17
5,2,5
5,3,8
5,4,3
5,5,0
5,6,5
5,7,11
5,8,6
6,1,10
6,2,11
6,3,6
6,4,2
6,5,5
6,6,0
6,7,27
6,8,10
7,1,24
7,2,9
7,3,4
7,4,0
7,5,11
7,6,27
7,7,0
7,8,18
8,1,8
8,2,6
8,3,7
8,4,8
8,5,6
8,6,10
8,7,18
8,8,0
