guppy1,guppy2,weight
1,1,0
1,2,8
1,3,16
1,4,10
1,5,14
1,6,1
1,7,8
1,8,6
2,1,8
2,2,0
2,3,7
2,4,3
2,5,2
2,6,2
2,7,4
2,8,4
3,1,16
3,2,7
3,3,0
3,4,16
3,5,12
3,6,7
3,7,7
3,8,15
4,1,10
4,2,3
4,3,16
4,4,0
4,5,8
4,6,5
4,7,3
4,8,7
5,1,14
5,2,2
5,3,12
5,4,8
5,5,0
5,6,4
5,7,3
5,8,7
6,1,1
6,2,2
6,3,7
6,4,5
6,5,4
6,6,0
6,7,6
6,8,2
7,1,8
7,2,4
7,3,7
7,4,3
7,5,3
7,6,6
7,7,0
7,8,7
8,1,6
8,2,4
8,3,15
8,4,7
8,5,7
8,6,2
8,7,7
8,8,0
