guppy1,guppy2,weight
1,1,0
1,2,3
1,3,16
1,4,9
1,5,10
1,6,13
1,7,15
1,8,12
2,1,3
2,2,0
2,3,17
2,4,14
2,5,9
2,6,19
2,7,11
2,8,19
3,1,16
3,2,17
3,3,0
3,4,9
3,5,17
3,6,21
3,7,14
3,8,17
4,1,9
4,2,14
4,3,9
4,4,0
4,5,12
4,6,16
4,7,15
4,8,10
5,1,10
5,2,9
5,3,17
5,4,12
5,5,0
5,6,7
5,7,27
5,8,16
6,1,13
6,2,19
6,3,21
6,4,16
6,5,7
6,6,0
6,7,16
6,8,22
7,1,15
7,2,11
7,3,14
7,4,15
7,5,27
7,6,16
7,7,0
7,8,3
8,1,12
8,2,19
8,3,17
8,4,10
8,5,16
8,6,22
8,7,3
8,8,0
