guppy1,guppy2,weight
1,1,0
1,2,16
1,3,2
1,4,11
1,5,2
1,6,10
1,7,11
1,8,11
2,1,16
2,2,0
2,3,5
2,4,13
2,5,7
2,6,7
2,7,17
2,8,12
3,1,2
3,2,5
3,3,0
3,4,9
3,5,6
3,6,3
3,7,7
3,8,8
4,1,11
4,2,13
4,3,9
4,4,0
4,5,5
4,6,1
4,7,12
4,8,19
5,1,2
5,2,7
5,3,6
5,4,5
5,5,0
5,6,5
5,7,7
5,8,5
6,1,10
6,2,7
6,3,3
6,4,1
6,5,5
6,6,0
6,7,5
6,8,7
7,1,11
7,2,17
7,3,7
7,4,12
7,5,7
7,6,5
7,7,0
7,8,13
8,1,11
8,2,12
8,3,8
8,4,19
8,5,5
8,6,7
8,7,13
8,8,0
