guppy1,guppy2,weight
1,1,0
1,2,16
1,3,2
1,4,12
1,5,8
1,6,3
1,7,0
1,8,6
2,1,16
2,2,0
2,3,7
2,4,17
2,5,19
2,6,10
2,7,5
2,8,17
3,1,2
3,2,7
3,3,0
3,4,2
3,5,3
3,6,3
3,7,5
3,8,8
4,1,12
4,2,17
4,3,2
4,4,0
4,5,16
4,6,8
4,7,5
4,8,13
5,1,8
5,2,19
5,3,3
5,4,16
5,5,0
5,6,14
5,7,2
5,8,10
6,1,3
6,2,10
6,3,3
6,4,8
6,5,14
6,6,0
6,7,8
6,8,7
7,1,0
7,2,5
7,3,5
7,4,5
7,5,2
7,6,8
7,7,0
7,8,6
8,1,6
8,2,17
8,3,8
8,4,13
8,5,10
8,6,7
8,7,6
8,8,0
