guppy1,guppy2,weight
1,1,0
1,2,10
1,3,10
1,4,10
1,5,7
1,6,10
1,7,15
1,8,12
2,1,10
2,2,0
2,3,8
2,4,4
2,5,7
2,6,14
2,7,11
2,8,7
3,1,10
3,2,8
3,3,0
3,4,11
3,5,6
3,6,9
3,7,4
3,8,9
4,1,10
4,2,4
4,3,11
4,4,0
4,5,11
4,6,11
4,7,18
4,8,10
5,1,7
5,2,7
5,3,6
5,4,11
5,5,0
5,6,10
5,7,11
5,8,5
6,1,10
6,2,14
6,3,9
6,4,11
6,5,10
6,6,0
6,7,14
6,8,13
7,1,15
7,2,11
7,3,4
7,4,18
7,5,11
7,6,14
7,7,0
7,8,17
8,1,12
8,2,7
8,3,9
8,4,10
8,5,5
8,6,13
8,7,17
8,8,0
