Focal.Letter.ID,TubPeriod,node,strength,betweenness,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
MT,T2_1,26,1.987130389,3,0.635906735,1,T,F,T2,6.094,16
MT,T2_2,26,2.110840716,0,0.583444236,2,T,F,T2,6.094,31
MU,T2_1,27,1.957851425,6,0.388373582,1,T,F,T2,6.984,22
MU,T2_2,27,3.854653286,34.5,0.589614051,2,T,F,T2,6.984,31
MV,T2_1,28,2.621694127,21,0.534695558,1,T,F,T2,5.991,28
MV,T2_2,28,1.57416042,3,0.504670807,2,T,F,T2,5.991,18
MX,T2_1,29,3.223327396,14,0.441401185,1,T,F,T2,6.572,26
MX,T2_2,29,4.441440628,62,0.592156297,2,T,F,T2,6.572,33
MZ,T2_1,30,2.67880529,27,0.41563288,1,T,F,T2,6.373,29
MZ,T2_2,30,2.904524526,26,0.538559473,2,T,F,T2,6.373,38
PA,T3_1,1,4.107468289,53,0.484200756,1,T,M,T3,6.322,43
PA,T3_2,1,2.420721515,8,0.255439526,2,T,M,T3,6.322,34
PD,T3_1,2,3.166257689,12,0.596803541,1,T,M,T3,6.799,39
PD,T3_2,2,2.251889403,23,0.410607435,2,T,M,T3,6.799,28
PE,T3_1,3,2.464108169,8,0.474442923,1,T,M,T3,6.036,37
PE,T3_2,3,2.556800026,27,0.439685344,2,T,M,T3,6.036,34
PH,T3_1,4,3.696342982,17,0.593130831,1,T,M,T3,7.205,42
PH,T3_2,4,1.509874495,21,0.280516414,2,T,M,T3,7.205,35
PK,T3_1,5,4.258394876,45,0.496185001,1,T,M,T3,7.184,44
PK,T3_2,5,2.524742785,1,0.449215868,2,T,M,T3,7.184,32
PL,T3_1,6,3.356365081,0,0.506906085,1,T,M,T3,7.37,46
PL,T3_2,6,1.984871863,0,0.222277228,2,T,M,T3,7.37,42
PM,T3_1,7,2.571422214,2,0.4775033,1,T,M,T3,6.341,41
PM,T3_2,7,1.830560505,11,0.506561797,2,T,M,T3,6.341,25
PO,T3_1,8,2.284826066,9,0.413237573,1,T,M,T3,7.271,41
PO,T3_2,8,1.771155926,13,0.412290657,2,T,M,T3,7.271,39
PP,T3_1,9,2.294713253,15,0.591207314,1,T,M,T3,7.103,35
PP,T3_2,9,1.808861707,13,0.318002854,2,T,M,T3,7.103,35
PS,T3_1,10,2.098382308,2,0.438153382,1,T,M,T3,6.884,43
PS,T3_2,10,2.477007586,6,0.337408977,2,T,M,T3,6.884,39
PT,T3_1,11,3.13451763,4,0.585673887,1,T,M,T3,6.111,29
PT,T3_2,11,0.787939925,0,0.88983113,2,T,M,T3,6.111,17
PU,T3_1,12,3.400025229,27,0.55472573,1,T,M,T3,7.041,38
PU,T3_2,12,2.410011285,12,0.325251727,2,T,M,T3,7.041,31
PX,T3_1,13,2.394956284,27,0.432079684,1,T,M,T3,7.508,47
PX,T3_2,13,3.003027432,87,0.515282215,2,T,M,T3,7.508,43
PZ,T3_1,14,3.99542717,60,0.482302698,1,T,M,T3,7.327,42
PZ,T3_2,14,2.800248051,30,0.370979509,2,T,M,T3,7.327,41
VA,T3_1,15,3.114790014,43,0.575641564,1,T,F,T3,6.433,40
VA,T3_2,15,3.238991938,9,0.335891461,2,T,F,T3,6.433,36
VC,T3_1,16,3.165826837,14,0.685913946,1,T,F,T3,7.162,41
VC,T3_2,16,1.63819548,6,0.421897717,2,T,F,T3,7.162,25
VD,T3_1,17,3.446961207,21,0.467144333,1,T,F,T3,6.804,37
VD,T3_2,17,1.756716968,2,0.493819216,2,T,F,T3,6.804,23
VE,T3_1,18,2.521931977,17,0.367098558,1,T,F,T3,6.54,40
VE,T3_2,18,2.260509633,1,0.423707942,2,T,F,T3,6.54,32
VH,T3_1,19,2.058577756,1,0.551119803,1,T,F,T3,6.969,28
VH,T3_2,19,2.474203473,26,0.415370613,2,T,F,T3,6.969,33
VK,T3_1,20,0.975671343,0,0.666666667,1,T,F,T3,6.108,20
VK,T3_2,20,1.653842453,2,0.446519586,2,T,F,T3,6.108,23
VL,T3_1,21,1.99674187,0,0.504875548,1,T,F,T3,6.695,30
VL,T3_2,21,2.888617581,27,0.37316263,2,T,F,T3,6.695,32
VM,T3_1,22,0.998166042,1,1,1,T,F,T3,5.889,26
VM,T3_2,22,2.42496031,0,0.444776391,2,T,F,T3,5.889,29
VO,T3_1,23,4.714515199,73,0.541378573,1,T,F,T3,7.049,39
VO,T3_2,23,2.714802193,59,0.411801453,2,T,F,T3,7.049,37
VS,T3_1,24,3.967196438,20,0.479637987,1,T,F,T3,6.826,42
VS,T3_2,24,2.34094833,49,0.381420564,2,T,F,T3,6.826,30
VT,T3_1,25,0.980917211,0,0.541336441,1,T,F,T3,7.361,17
VT,T3_2,25,2.087668662,26,0.413520874,2,T,F,T3,7.361,27
VU,T3_1,26,2.817606587,31,0.684911049,1,T,F,T3,7.281,41
VU,T3_2,26,1.621680953,11,0.47059916,2,T,F,T3,7.281,31
VV,T3_1,27,2.005552553,0,0.809168892,1,T,F,T3,7.18,28
VV,T3_2,27,1.531719422,9,0.273208512,2,T,F,T3,7.18,29
VX,T3_1,28,3.148536121,10,0.487611932,1,T,F,T3,7.264,41
VX,T3_2,28,2.705239067,13,0.4563566,2,T,F,T3,7.264,32
VZ,T3_1,29,3.490580988,38,0.391912698,1,T,F,T3,7.191,40
VZ,T3_2,29,1.597381977,8,0.251607479,2,T,F,T3,7.191,22
DA,T4_1,1,2.823348122,33,0.484826006,1,T,F,T4,7.058,35
DA,T4_2,1,2.81912158,29,0.540190578,2,T,F,T4,7.058,37
DC,T4_1,2,1.509931473,14,0.546673399,1,T,F,T4,7.502,24
DC,T4_2,2,1.589806133,1,0.315507917,2,T,F,T4,7.502,16
DD,T4_1,3,2.379306169,16,0.5488003,1,T,F,T4,6.147,28
DD,T4_2,3,1.958843094,12,0.376521548,2,T,F,T4,6.147,18
DE,T4_1,4,3.813687271,80,0.383899393,1,T,F,T4,7.117,41
DE,T4_2,4,3.742059122,42,0.461070907,2,T,F,T4,7.117,42
DH,T4_1,5,1.172033036,7,0.395221052,1,T,F,T4,6.661,30
DH,T4_2,5,2.32286229,12,0.349586488,2,T,F,T4,6.661,19
DK,T4_1,6,1.861023089,0,0.68599437,1,T,F,T4,6.995,16
DK,T4_2,6,1.955660422,7,0.44752038,2,T,F,T4,6.995,24
DL,T4_1,7,2.787851954,22,0.541811442,1,T,F,T4,6.377,35
DL,T4_2,7,1.773209981,1,0.584249,2,T,F,T4,6.377,20
DM,T4_1,8,2.728076346,46,0.418552686,1,T,F,T4,7.289,34
DM,T4_2,8,2.430008079,7,0.462190016,2,T,F,T4,7.289,24
DO,T4_1,9,0.35030076,0,0,1,T,F,T4,6.41,14
DO,T4_2,9,2.743038816,42,0.383986047,2,T,F,T4,6.41,21
DP,T4_1,10,2.391640579,23,0.616421531,1,T,F,T4,6.758,28
DP,T4_2,10,2.439337717,20,0.405840267,2,T,F,T4,6.758,16
DS,T4_1,11,2.390595834,12,0.493032049,1,T,F,T4,6.441,31
DS,T4_2,11,1.718883467,13,0.473369729,2,T,F,T4,6.441,19
DU,T4_1,12,2.662465507,13,0.403944511,1,T,F,T4,7.109,29
DU,T4_2,12,2.99785427,19,0.436498608,2,T,F,T4,7.109,29
DV,T4_1,13,1.110494793,0,0.4910808,1,T,F,T4,7.076,25
DV,T4_2,13,2.216319854,23,0.33757549,2,T,F,T4,7.076,31
DX,T4_1,14,0.849932773,1,0.666666667,1,T,F,T4,5.514,13
DX,T4_2,14,1.501058995,1,0.381022007,2,T,F,T4,5.514,7
DZ,T4_1,15,0.820120006,0,0.418220197,1,T,F,T4,6.668,28
DZ,T4_2,15,2.161683196,3,0.410359786,2,T,F,T4,6.668,22
TA,T4_1,16,1.740562018,18,0.549390394,1,T,M,T4,6.861,41
TA,T4_2,16,3.422839177,53,0.429253091,2,T,M,T4,6.861,39
TC,T4_1,17,3.312250514,30,0.393969642,1,T,M,T4,7.006,36
TC,T4_2,17,2.060406065,0,0.518925931,2,T,M,T4,7.006,38
TE,T4_1,18,2.728077913,5,0.414948127,1,T,M,T4,6.45,40
TE,T4_2,18,2.636330957,0,0.398543927,2,T,M,T4,6.45,36
TH,T4_1,19,1.199382221,0,0.317234049,1,T,M,T4,6.809,39
TH,T4_2,19,2.094281747,12,0.475923761,2,T,M,T4,6.809,38
TK,T4_1,20,2.78292667,17,0.5,1,T,M,T4,7.045,47
TK,T4_2,20,2.182991456,24,0.386731823,2,T,M,T4,7.045,40
TL,T4_1,21,2.987134931,22,0.414890418,1,T,M,T4,7.348,33
TL,T4_2,21,2.644276217,8,0.461841945,2,T,M,T4,7.348,39
TM,T4_1,22,2.268086929,30,0.640222356,1,T,M,T4,6.769,44
TM,T4_2,22,2.573091262,16,0.500381588,2,T,M,T4,6.769,41
TO,T4_1,23,1.563064268,11,0.365306947,1,T,M,T4,7.448,43
TO,T4_2,23,1.441932911,3,0.355967212,2,T,M,T4,7.448,42
TP,T4_1,24,3.81309234,56,0.466397422,1,T,M,T4,6.586,40
TP,T4_2,24,3.216111844,49,0.513480106,2,T,M,T4,6.586,36
TS,T4_1,25,1.561738662,11,0.251693757,1,T,M,T4,7.515,42
TS,T4_2,25,3.216370319,39,0.370619899,2,T,M,T4,7.515,40
TT,T4_1,26,1.977155625,23,0.481901991,1,T,M,T4,7.272,33
TT,T4_2,26,1.873924671,4,0.449762932,2,T,M,T4,7.272,36
TU,T4_1,27,2.214784799,28,0.445895744,1,T,M,T4,6.087,25
TU,T4_2,27,0.881711185,1,0.286543037,2,T,M,T4,6.087,19
TV,T4_1,28,1.874028841,29,0.464236803,1,T,M,T4,6.429,38
TV,T4_2,28,3.19426454,17,0.488862645,2,T,M,T4,6.429,35
TX,T4_1,29,2.782539126,17,0.27915789,1,T,M,T4,5.523,39
TX,T4_2,29,2.221869999,6,0.478897536,2,T,M,T4,5.523,28
TZ,T4_1,30,1.953844801,1,0.499721194,1,T,M,T4,5.853,42
TZ,T4_2,30,2.080960433,2,0.448792546,2,T,M,T4,5.853,34
