Focal.Letter.ID,TubPeriod,node,strength,betweenness,Clustering coefficient ,Period,Treatment,Sex,Tub,Elytra,Number of observations
CS,C2_2,11,2.979866148,26,0.703793134,2,C,M,C2,6.732,14
CT,C2_1,12,1.398005663,11.25,0.466377616,1,C,M,C2,6.799,28
CT,C2_2,12,2.547516963,0,0.488573551,2,C,M,C2,6.799,28
CU,C2_1,13,2.12133856,12,0.337888379,1,C,M,C2,6.493,35
CU,C2_2,13,1.685647642,0,0.657721472,2,C,M,C2,6.493,19
CV,C2_1,14,1.1258978,0,0.381675722,1,C,M,C2,6.976,25
CV,C2_2,14,1.396980231,22,0.486149541,2,C,M,C2,6.976,26
CZ,C2_1,15,1.713449437,4,0.447978024,1,C,M,C2,7.104,38
CZ,C2_2,15,2.284597387,2,0.526445471,2,C,M,C2,7.104,37
XA,C2_1,16,1.688193194,21,0.614774531,1,C,F,C2,6.266,24
XA,C2_2,16,4.346538157,16,0.571530878,2,C,F,C2,6.266,23
XE,C2_1,17,1.152788369,0,0.735333482,1,C,F,C2,6.949,17
XE,C2_2,18,2.759190528,12,0.57814546,2,C,F,C2,6.949,22
XH,C2_1,18,2.031713305,7,0.451799621,1,C,F,C2,6.92,36
XH,C2_2,19,3.752259429,39,0.450325122,2,C,F,C2,6.92,33
XK,C2_1,19,1.938226271,35.75,0.357298105,1,C,F,C2,7.406,11
XK,C2_2,20,4.006718187,15,0.459287117,2,C,F,C2,7.406,29
XM,C2_1,20,1.355864047,12,0.589187176,1,C,F,C2,6.317,26
XM,C2_2,22,2.998992857,52,0.525496478,2,C,F,C2,6.317,26
XO,C2_1,21,2.137162472,11,0.462075051,1,C,F,C2,6.062,33
XO,C2_2,23,2.882851899,14,0.514926401,2,C,F,C2,6.062,34
XP,C2_1,22,1.484431756,11,0.612415372,1,C,F,C2,6.21,20
XP,C2_2,24,2.588200839,0,0.633211034,2,C,F,C2,6.21,13
XS,C2_1,23,1.931830704,14,0.393895415,1,C,F,C2,6.545,19
XS,C2_2,25,4.660450265,85,0.530797173,2,C,F,C2,6.545,28
XT,C2_1,24,1.86462671,10,0.318156026,1,C,F,C2,7,26
XT,C2_2,26,2.898982651,38,0.636003427,2,C,F,C2,7,24
XU,C2_1,25,2.455447183,35,0.482607667,1,C,F,C2,7.43,38
XU,C2_2,27,4.297061055,19,0.51723984,2,C,F,C2,7.43,39
XV,C2_1,26,1.723071518,21,0.2004115,1,C,F,C2,6.808,24
XV,C2_2,28,1.644160331,1,0.83623284,2,C,F,C2,6.808,10
XX,C2_1,27,2.582476826,25,0.447559125,1,C,F,C2,7.215,19
XX,C2_2,29,3.368300573,22,0.484528804,2,C,F,C2,7.215,18
XD,C2_1,NA,NA,NA,NA,1,C,F,C2,7.091,5
XD,C2_2,17,2.355249464,11,0.748546792,2,C,F,C2,7.091,13
XL,C2_1,NA,NA,NA,NA,1,C,F,C2,5.687,1
XL,C2_2,21,3.870354779,11,0.537305891,2,C,F,C2,5.687,18
XZ,C2_1,NA,NA,NA,NA,1,C,F,C2,6.936,4
XZ,C2_2,30,2.812282715,11,0.767316981,2,C,F,C2,6.936,8
EA,C3_1,1,0.166666667,0,NA,1,C,M,C3,6.958,32
EA,C3_2,1,2.254046038,5,0.509803793,2,C,M,C3,6.958,23
EC,C3_1,2,2.329106866,26,0.32109076,1,C,M,C3,7.503,43
EC,C3_2,2,2.747335228,14,0.623617624,2,C,M,C3,7.503,27
ED,C3_1,3,1.461687723,0,0.361070565,1,C,M,C3,6.065,29
ED,C3_2,3,1.258064583,2,0.776115774,2,C,M,C3,6.065,17
EE,C3_1,4,0.342268474,0,0,1,C,M,C3,6.641,16
EE,C3_2,4,0.489513944,0,0.335268168,2,C,M,C3,6.641,21
EK,C3_1,5,2.227649826,22,0.333632728,1,C,M,C3,6.955,35
EK,C3_2,5,3.105852579,0,0.494027813,2,C,M,C3,6.955,30
EL,C3_1,6,2.907442333,12,0.430053585,1,C,M,C3,6.1,36
EL,C3_2,6,4.041367578,34,0.497988224,2,C,M,C3,6.1,36
EM,C3_1,7,2.638998218,10,0.407732697,1,C,M,C3,6.291,35
EM,C3_2,7,3.32798425,0,0.462485459,2,C,M,C3,6.291,31
EP,C3_1,8,3.202933324,26,0.413870239,1,C,M,C3,6.643,35
EP,C3_2,8,2.719413328,1,0.500066525,2,C,M,C3,6.643,34
ES,C3_1,9,2.347646588,46,0.287457566,1,C,M,C3,6.383,23
ES,C3_2,9,3.371645564,32,0.52743472,2,C,M,C3,6.383,20
ET,C3_1,10,1.802044476,0,0.479075112,1,C,M,C3,6.718,18
ET,C3_2,10,2.262500526,17,0.71003482,2,C,M,C3,6.718,30
