"DATE","SESSION","STATION","GDEN","AVGSIZE","MAXGSIZE","SDGSIZE","NTOT","ISOLATE","AV.DEG","SD.DEG","AV.NDEG","AV.NDEG","SD.NDEG","AV.STRENGTH","SD.STRENGTH","AV.BTW","SD.BTW","AV.CLO","SD.CLO","AV.EIGV","SD.EIGV","AV.DIST","NCOMP","MAX.NCOMP","MIN.NCOMP","G.CLU"
"2016-01-27","PM","50","0.142857142857143","1.11111111111111","2","0.316793975540994","8","4","1","1.0690449676497","0.142857142857143","0.142857142857143","0.152720709664243","0.148706896551724","0.170213796556375","0.0119047619047619","0.0220433357088703","0.170128811190343","0.0119047619047619","0.770694597186744","0.770694763888874","1.33333333333333","5","4","1","0"
"2016-01-27","AM","37","0.166666666666667","1.16666666666667","2","0.408248290463863","4","2","0.5","0.577350269189626","0.166666666666667","0.166666666666667","0.192450089729875","0.2","0.23094010767585","0","0","0.303571428571429","0","0.999994637450896","0.999985859884146","1","3","2","1","NaN"
"2016-01-26","MID","50","0.3","1.08695652173913","2","0.284884924644768","5","1","1.2","1.09544511501033","0.3","0.3","0.273861278752583","0.1","0.0947859430506444","0.1","0.223606797749979","0.635509916440149","0.1","0.73087475994799","0.730883245431634","1.5","2","4","1","0"
"2016-01-31","MID","52","0.0444444444444444","1.07692307692308","2","0.271746488194703","10","7","0.4","0.699205898780101","0.0444444444444444","0.0444444444444444","0.0776895443089001","0.107142857142857","0.187476377952662","0.00277777777777778","0.00878410461157883","0.108181941694017","0.00277777777777778","0.704558561866788","0.704530963079996","1.33333333333333","8","3","1","0"
"2016-01-31","AM","50","0.2","1.05714285714286","2","0.235504107976803","5","1","0.8","0.447213595499958","0.2","0.2","0.111803398874989","0.11047619047619","0.0619413811105109","0","0","0.251387249605187","0","0.399999850664291","0.400955021371182","1","3","2","1","NaN"
"2016-02-01","PM","52","0.5","1.2","3","0.632455532033676","4","1","1.5","1","0.5","0.5","0.333333333333333","1.5","1","0","0","0.4375","0","0.874998121751255","0.874998522030358","1","2","3","1","1"
"2016-02-01","MID","50","0.238095238095238","1.14583333333333","3","0.412030949742977","7","3","1.42857142857143","1.39727626201154","0.238095238095238","0.238095238095238","0.232879377001924","0.238041272954643","0.254454585855384","0.019047619047619","0.0325300024316178","0.220562460132436","0.019047619047619","0.509277719972318","0.509279359858796","1.16666666666667","4","4","1","0.75"
"2016-02-01","AM","37","0.196969696969697","1.2258064516129","3","0.458770803832914","12","3","2.16666666666667","1.52752523165195","0.196969696969697","0.196969696969697","0.138865930150177","0.496914332943745","0.374097014114656","0.0621212121212121","0.124155045535132","0.233377730810497","0.0621212121212121","0.289112142465437","0.289112187780971","2.11111111111111","4","9","1","0.642857142857143"
"2016-02-03","PM","37","0.197802197802198","1.33783783783784","3","0.555841384367953","14","0","2.57142857142857","1.74154156796989","0.197802197802198","0.197802197802198","0.133964735997684","0.491455410528829","0.343229579381884","0.0750915750915751","0.125902109970915","0.351168790443773","0.0750915750915751","0.450397397019594","0.450397397019595","2.19402985074627","2","12","2","0.3125"
"2016-02-03","MID","52","NaN","1","1",NA,"1","1","0",NA,"NaN","NaN",NA,"0",NA,"NaN",NA,"NaN","NaN","1","1","NaN","1","1","1","NaN"
"2016-02-03","AM","50","0.2","1.14814814814815","2","0.362013992898246","6","2","1","1.09544511501033","0.2","0.2","0.219089023002066","0.174747474747475","0.199380737028763","0.05","0.122474487139159","0.316311223583531","0.05","0.454364854601956","0.454364695205717","1.5","3","4","1","0"
"2016-02-05","PM","50","0.25","1.16949152542373","2","0.378406020441342","8","1","1.75","1.16496474502144","0.25","0.25","0.166423535003062","0.285104375758401","0.186721189897097","0.136904761904762","0.153645897675037","0.633798441284158","0.136904761904762","0.57801394397349","0.578015178521754","2.0952380952381","2","7","1","0.3"
"2016-02-05","MID","37","0.2","1.4","2","0.547722557505166","5","1","0.8","0.447213595499958","0.2","0.2","0.111803398874989","0.533333333333333","0.298142396999972","0","0","0.244255319148936","0","0.999974265546431","0.999956085549312","1","3","2","1","NaN"
