box,IDA[inside_first],sexA,IDB[inside_after_IDA],sexB,number_encounters,time_together[sec],date_obs
3,00074bd70a,XY,00075a3e22,XY,2,401,3-Mar
3,00074bd70a,XY,00075d67e2,XX,3,73,3-Mar
3,00074bd70a,XY,00075a778b,XX,1,9,31-Jan
3,00074bd70a,XY,00075a3e22,XY,1,45,31-Jan
3,00074bd70a,XY,00075d67e2,XX,1,665,31-Jan
3,00074bd70a,XY,00074de544,XX,1,27,4-Mar
3,00074bd70a,XY,00075a341a,XX,4,126,4-Mar
3,00074bd70a,XY,00075d67e2,XX,2,80,4-Mar
3,00074bd70a,XY,00074dda10,XX,3,136,4-Mar
3,00074bd70a,XY,00074bf097,XX,1,17,5-Feb
3,00074bd70a,XY,00075a341a,XX,1,6,6-Mar
3,00074bd70a,XY,00074dda10,XX,1,7,6-Mar
3,00074bd70a,XY,00075d67e2,XX,2,30,6-Mar
3,00074bd70a,XY,00074dd8c6,XY,2,105,7-Feb
3,00074bd70a,XY,00075b6df8,XX,1,17,8-Mar
3,00074bd70a,XY,7.57E+148,XY,19,2061,8-Mar
3,00074bd70a,XY,00075a341a,XX,1,160,8-Mar
3,00074bd70a,XY,00075d67e2,XX,25,1150,8-Mar
24,00074bdb9c,XY,00074ff562,XX,4,1113,1-Feb
24,00074bdb9c,XY,00075b3038,XX,1,18,1-Feb
24,00074bdb9c,XY,00075d4864,XX,2,81,1-Feb
24,00074bdb9c,XY,00074f0477,XX,1,901,1-Feb
24,00074bdb9c,XY,00075b38ca,XX,1,316,1-Feb
24,00074bdb9c,XY,00075b39cc,XX,4,1385,1-Mar
24,00074bdb9c,XY,00075b5bfa,XX,5,970,1-Mar
24,00074bdb9c,XY,00074f0477,XX,9,934,1-Mar
24,00074bdb9c,XY,00075b3038,XX,10,3639,1-Mar
24,00074bdb9c,XY,00075b25de,XY,4,1212,1-Mar
24,00074bdb9c,XY,00075b38ca,XX,57,6429,1-Mar
24,00074bdb9c,XY,00075d4864,XX,8,8029,1-Mar
24,00074bdb9c,XY,00074ff562,XX,15,2560,1-Mar
24,00074bdb9c,XY,00074f5a1c,XY,2,12,1-Mar
24,00074bdb9c,XY,00075a3dcf,XX,21,7255,1-Mar
24,00074bdb9c,XY,00074ed1e1,XX,68,5806,1-Mar
24,00074bdb9c,XY,00074f75b7,XY,3,1214,1-Mar
24,00074bdb9c,XY,00075b3038,XX,1,3,10-Feb
25,00074bdb9c,XY,00075d2329,XY,1,129,10-Feb
24,00074bdb9c,XY,00074ff562,XX,1,8,11-Feb
24,00074bdb9c,XY,00075b38ca,XX,1,16,11-Feb
25,00074bdb9c,XY,00074ff562,XX,3,3256,13-Feb
25,00074bdb9c,XY,00075b39cc,XX,4,3580,13-Feb
25,00074bdb9c,XY,00074f75b7,XY,2,4710,13-Feb
25,00074bdb9c,XY,00075b38ca,XX,2,557,13-Feb
25,00074bdb9c,XY,00075b3038,XX,2,4406,13-Feb
25,00074bdb9c,XY,00074f5a1c,XY,14,4420,13-Feb
25,00074bdb9c,XY,00074f0477,XX,6,5689,13-Feb
25,00074bdb9c,XY,00075d0801,XY,2,2833,13-Feb
25,00074bdb9c,XY,00075d2329,XY,4,7782,13-Feb
25,00074bdb9c,XY,00074ee5e3,XY,2,6835,13-Feb
25,00074bdb9c,XY,00074ed1e1,XX,6,1959,13-Feb
25,00074bdb9c,XY,00075b5bfa,XX,4,6096,13-Feb
25,00074bdb9c,XY,00075d4864,XX,3,1886,13-Feb
24,00074bdb9c,XY,00074f0477,XX,2,25,15-Feb
24,00074bdb9c,XY,00075b3038,XX,9,831,15-Feb
24,00074bdb9c,XY,00075b38ca,XX,1,157,15-Feb
24,00074bdb9c,XY,00074ff562,XX,1,47,15-Feb
24,00074bdb9c,XY,00075b25de,XY,1,2,15-Feb
24,00074bdb9c,XY,00074ff562,XX,3,1125,15-Jan
24,00074bdb9c,XY,00075d4864,XX,8,1053,15-Jan
24,00074bdb9c,XY,00074ee5e3,XY,14,4953,15-Jan
24,00074bdb9c,XY,00075b25de,XY,7,877,15-Jan
24,00074bdb9c,XY,00075b39cc,XX,9,5377,15-Jan
24,00074bdb9c,XY,00074f75b7,XY,4,959,15-Jan
24,00074bdb9c,XY,00075b5bfa,XX,6,493,15-Jan
24,00074bdb9c,XY,00075b38ca,XX,2,2571,15-Jan
24,00074bdb9c,XY,00074f0477,XX,1,6,15-Jan
24,00074bdb9c,XY,00074f5a1c,XY,5,593,15-Jan
24,00074bdb9c,XY,00075d2329,XY,13,8239,15-Jan
24,00074bdb9c,XY,00075b47ed,XY,4,1271,15-Jan
24,00074bdb9c,XY,00075b42d5,XY,3,317,15-Jan
24,00074bdb9c,XY,00075b3038,XX,10,4755,15-Jan
24,00074bdb9c,XY,00074ee5e3,XY,2,32,16-Jan
24,00074bdb9c,XY,00075b5bfa,XX,1,70,16-Jan
24,00074bdb9c,XY,00074ff562,XX,1,39,16-Jan
24,00074bdb9c,XY,00075b38ca,XX,2,87,16-Jan
24,00074bdb9c,XY,00075b39cc,XX,3,179,16-Jan
24,00074bdb9c,XY,00075d4864,XX,7,432,16-Jan
24,00074bdb9c,XY,00075b38ca,XX,1,2,17-Feb
24,00074bdb9c,XY,00074f5a1c,XY,1,6,18-Jan
