date_time,period,network_number,n_nodes,density,mean_eignvector_centrality,mean_betweenness_centrality,average.path.length,effective_information,ie_adjusted
4/27/18 19:00,48 hours later,53,29,0.330049261,0.624942615,31.34482759,1.288770053,1.393993183,0.286949081
4/27/18 20:00,48 hours later,54,30,0.322988506,0.581239241,23.9,1.296675192,1.408925297,0.287131997
4/27/18 21:00,48 hours later,55,29,0.315270936,0.607363623,24.72413793,1.329787234,1.50260143,0.309305745
4/27/18 22:00,48 hours later,56,29,0.328817734,0.601375541,24.96551724,1.320512821,1.386321047,0.285369796
4/27/18 23:00,none,57,29,0.330049261,0.62969789,37.24137931,1.288,1.421181678,0.292545747
4/28/18 0:00,none,58,28,0.354497354,0.654749383,31.07142857,1.258333333,1.386390465,0.288389455
4/28/18 1:00,none,59,29,0.322660099,0.593250285,23.82758621,1.331564987,1.573097817,0.323817203
4/28/18 2:00,none,60,29,0.280788177,0.510931825,24.24137931,1.321212121,1.609407974,0.331291534
4/28/18 3:00,none,61,27,0.287749288,0.499092035,25.33333333,1.417445483,1.643338837,0.345610456
4/28/18 4:00,none,62,30,0.229885057,0.451155579,25.6,1.52259887,1.847538388,0.376519173
4/28/18 5:00,none,63,30,0.26091954,0.556556952,26.73333333,1.44973545,1.775147786,0.361766327
4/28/18 6:00,none,64,30,0.283908046,0.571602887,26.6,1.408163265,1.760050509,0.358689576
4/28/18 7:00,none,65,30,0.143678161,0.412367324,28.33333333,1.745033113,2.285594811,0.465792902
4/29/18 3:00,none,66,2,0.5,1,0,1,0,0
4/29/18 4:00,none,67,2,0.5,1,0,1,0,0
,,,,,,,,,
,,,,,,,,,
